Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,0,Graduate,No,100696,48540,329,180,1,Urban,Y
Male,Yes,1,Graduate,No,103924,35713,264,240,1,Rural,Y
Male,No,0,Graduate,No,40221,12509,222,180,1,Urban,Y
Female,Yes,2,Graduate,No,61615,5164,332,240,1,Rural,Y
Female,Yes,2,Graduate,No,49930,5229,169,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,101593,42469,86,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,40785,44866,216,360,1,Urban,Y
Male,No,1,Graduate,No,86341,14358,211,240,1,Rural,Y
Female,Yes,0,Graduate,No,109912,38311,269,360,1,Urban,Y
Male,Yes,0,Graduate,Yes,94240,10484,266,360,1,Semiurban,Y
Female,Yes,3,Not Graduate,Yes,106466,7507,324,360,1,Urban,Y
Female,Yes,1,Not Graduate,No,46522,32806,141,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,81514,37,215,300,1,Urban,Y
Female,Yes,0,Graduate,Yes,107932,31849,85,480,1,Urban,Y
Female,No,0,Graduate,No,39760,8835,152,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,56313,1378,333,240,1,Urban,Y
Male,Yes,3,Not Graduate,Yes,43195,18250,298,240,1,Rural,Y
Female,Yes,1,Graduate,Yes,98374,28249,231,300,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,37112,12465,324,300,1,Urban,Y
Male,No,0,Not Graduate,No,24833,828,326,360,0,Rural,N
Male,Yes,1,Graduate,No,19685,10789,244,120,1,Rural,Y
Female,Yes,2,Graduate,No,98752,47081,299,240,1,Rural,Y
Male,No,0,Graduate,No,81615,2579,79,480,1,Urban,Y
Male,Yes,0,Graduate,No,44271,37940,70,360,1,Semiurban,Y
Female,No,0,Graduate,No,63876,2144,203,300,0,Rural,N
Male,Yes,3,Not Graduate,Yes,39938,33153,185,180,1,Urban,Y
Male,Yes,0,Not Graduate,No,92173,52894,320,120,0,Urban,N
Male,No,0,Graduate,Yes,84512,2546,189,240,1,Urban,Y
Female,Yes,0,Not Graduate,Yes,95136,27759,191,120,1,Urban,Y
Female,Yes,1,Graduate,No,26663,4931,126,360,0,Semiurban,N
Male,Yes,0,Graduate,No,17229,58911,233,240,1,Urban,Y
Female,No,2,Not Graduate,No,33299,13105,140,360,1,Semiurban,Y
Female,No,1,Graduate,No,44527,4371,131,360,1,Rural,Y
Female,Yes,2,Graduate,No,116247,57103,166,240,1,Urban,Y
Female,No,3,Graduate,No,64386,11133,324,300,1,Rural,Y
Female,Yes,3,Graduate,Yes,68959,22654,210,300,0,Urban,N
Male,Yes,2,Graduate,No,82575,45013,150,300,1,Semiurban,Y
Female,Yes,2,Graduate,No,78469,20269,259,300,1,Semiurban,Y
Male,Yes,3,Graduate,No,92676,37296,204,300,0,Urban,N
Male,Yes,1,Graduate,No,69954,44277,159,360,1,Rural,Y
Male,Yes,0,Graduate,No,24240,53636,170,360,1,Urban,Y
Male,Yes,3,Graduate,No,71692,27160,344,240,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,25970,51014,267,240,0,Semiurban,N
